,year,Dem_candidate,Dem_votes,totalvotes,Rep_candidate,Rep_votes,Third_party_votes,state,Median income,Standard error,Population
113,1984,"MONDALE, WALTER",841481.0,2233069.0,"REAGAN, RONALD",1377230.0,14358.0,Indiana,54182.0,1689.0,
114,1984,"MONDALE, WALTER",605620.0,1319805.0,"REAGAN, RONALD",703088.0,11097.0,Iowa,47265.0,1773.0,
115,1984,"MONDALE, WALTER",333149.0,1021991.0,"REAGAN, RONALD",677296.0,11546.0,Kansas,58605.0,2170.0,
116,1984,"MONDALE, WALTER",539539.0,1369345.0,"REAGAN, RONALD",821702.0,8104.0,Kentucky,42070.0,2568.0,
117,1984,"MONDALE, WALTER",651586.0,1706822.0,"REAGAN, RONALD",1037299.0,17937.0,Louisiana,45090.0,2094.0,
118,1984,"MONDALE, WALTER",214515.0,553144.0,"REAGAN, RONALD",336500.0,2129.0,Maine,49132.0,2104.0,
119,1984,"MONDALE, WALTER",787935.0,1675873.0,"REAGAN, RONALD",879918.0,8020.0,Maryland,70691.0,2739.0,
120,1984,"MONDALE, WALTER",1239606.0,2559383.0,"REAGAN, RONALD",1310936.0,8841.0,Massachusetts,64150.0,1649.0,
121,1984,"MONDALE, WALTER",1529638.0,3801658.0,"REAGAN, RONALD",2251571.0,20449.0,Michigan,54646.0,1511.0,
122,1984,"MONDALE, WALTER",1036364.0,2084449.0,"REAGAN, RONALD",1032603.0,15482.0,Minnesota,58146.0,2175.0,
123,1984,"MONDALE, WALTER",352192.0,941104.0,"REAGAN, RONALD",582377.0,6535.0,Mississippi,36716.0,1742.0,
124,1984,"MONDALE, WALTER",146742.0,384377.0,"REAGAN, RONALD",232450.0,5185.0,Montana,46486.0,1713.0,
125,1984,"MONDALE, WALTER",187866.0,652090.0,"REAGAN, RONALD",460054.0,4170.0,Nebraska,50915.0,1820.0,
126,1984,"MONDALE, WALTER",91655.0,282717.0,"REAGAN, RONALD",188770.0,2292.0,Nevada,61335.0,2422.0,
127,1984,"MONDALE, WALTER",120347.0,388904.0,"REAGAN, RONALD",267050.0,1507.0,New Hampshire,61663.0,1749.0,
128,1984,"MONDALE, WALTER",1261323.0,3217862.0,"REAGAN, RONALD",1933630.0,22909.0,New Jersey,66094.0,1904.0,
129,1984,"MONDALE, WALTER",201769.0,514370.0,"REAGAN, RONALD",307101.0,5500.0,New Mexico,49090.0,2449.0,
130,1984,"MONDALE, WALTER",3001285.0,6806810.0,"REAGAN, RONALD",3376519.0,429006.0,New York,52414.0,992.0,
131,1984,"MONDALE, WALTER",824287.0,2175361.0,"REAGAN, RONALD",1346481.0,4593.0,North Carolina,48944.0,1525.0,
132,1984,"MONDALE, WALTER",104429.0,308971.0,"REAGAN, RONALD",200336.0,4206.0,North Dakota,49425.0,2470.0,
133,1984,"MONDALE, WALTER",1825440.0,4563235.0,"REAGAN, RONALD",2678559.0,59236.0,Ohio,55022.0,1171.0,
134,1984,"MONDALE, WALTER",385080.0,1255676.0,"REAGAN, RONALD",861530.0,9066.0,Oklahoma,50322.0,1708.0,
135,1984,"MONDALE, WALTER",536479.0,1226527.0,"REAGAN, RONALD",685700.0,4348.0,Oregon,50919.0,1773.0,
136,1984,"MONDALE, WALTER",2228131.0,4844903.0,"REAGAN, RONALD",2584323.0,32449.0,Pennsylvania,48414.0,1187.0,
137,1984,"MONDALE, WALTER",197106.0,410489.0,"REAGAN, RONALD",212080.0,1303.0,Rhode Island,51426.0,2018.0,
138,1984,"MONDALE, WALTER",344459.0,968529.0,"REAGAN, RONALD",615539.0,8531.0,South Carolina,48326.0,2222.0,
139,1984,"MONDALE, WALTER",116113.0,317867.0,"REAGAN, RONALD",200267.0,1487.0,South Dakota,46184.0,2208.0,
140,1984,"MONDALE, WALTER",711714.0,1711993.0,"REAGAN, RONALD",990212.0,10067.0,Tennessee,39933.0,1371.0,
141,1984,"MONDALE, WALTER",1949276.0,5397571.0,"REAGAN, RONALD",3433428.0,14867.0,Texas,54786.0,1268.0,
142,1984,"MONDALE, WALTER",155369.0,629656.0,"REAGAN, RONALD",469105.0,5182.0,Utah,54865.0,1749.0,
143,1984,"MONDALE, WALTER",95730.0,234561.0,"REAGAN, RONALD",135865.0,2966.0,Vermont,53725.0,2339.0,
144,1984,"MONDALE, WALTER",796250.0,2146635.0,"REAGAN, RONALD",1337078.0,13307.0,Virginia,63117.0,2080.0,
145,1984,"MONDALE, WALTER",798352.0,1874910.0,"REAGAN, RONALD",1051670.0,24888.0,Washington,59529.0,1958.0,
146,1984,"MONDALE, WALTER",328125.0,735742.0,"REAGAN, RONALD",405483.0,2134.0,West Virginia,40078.0,1447.0,
147,1984,"MONDALE, WALTER",995740.0,2211689.0,"REAGAN, RONALD",1198584.0,17365.0,Wisconsin,49358.0,1954.0,
148,1984,"MONDALE, WALTER",53370.0,188968.0,"REAGAN, RONALD",133241.0,2357.0,Wyoming,56671.0,1739.0,
149,1988,"DUKAKIS, MICHAEL",549506.0,1378476.0,"BUSH, GEORGE H.W.",815576.0,13394.0,Alabama,42082.0,1924.0,
150,1988,"DUKAKIS, MICHAEL",72584.0,200116.0,"BUSH, GEORGE H.W.",119251.0,8281.0,Alaska,69833.0,2496.0,
151,1988,"DUKAKIS, MICHAEL",454029.0,1171873.0,"BUSH, GEORGE H.W.",702541.0,15303.0,Arizona,55767.0,1778.0,
152,1988,"DUKAKIS, MICHAEL",349237.0,827738.0,"BUSH, GEORGE H.W.",466578.0,11923.0,Arkansas,42554.0,1489.0,
153,1988,"DUKAKIS, MICHAEL",4702233.0,9887065.0,"BUSH, GEORGE H.W.",5054917.0,129915.0,California,63893.0,1337.0,
154,1988,"DUKAKIS, MICHAEL",621453.0,1372394.0,"BUSH, GEORGE H.W.",728177.0,22764.0,Colorado,55300.0,2711.0,
155,1988,"DUKAKIS, MICHAEL",676584.0,1443394.0,"BUSH, GEORGE H.W.",750241.0,16569.0,Connecticut,76394.0,2728.0,
156,1988,"DUKAKIS, MICHAEL",108647.0,249891.0,"BUSH, GEORGE H.W.",139639.0,1605.0,Delaware,64353.0,2462.0,
157,1988,"DUKAKIS, MICHAEL",159407.0,192877.0,"BUSH, GEORGE H.W.",27590.0,5880.0,District Of Columbia,,,
158,1988,"DUKAKIS, MICHAEL",1656701.0,4302313.0,"BUSH, GEORGE H.W.",2618885.0,26727.0,Florida,53596.0,1002.0,
159,1988,"DUKAKIS, MICHAEL",714792.0,1809672.0,"BUSH, GEORGE H.W.",1081331.0,13549.0,Georgia,56043.0,1890.0,
160,1988,"DUKAKIS, MICHAEL",192364.0,354461.0,"BUSH, GEORGE H.W.",158625.0,3472.0,Hawaii,69667.0,3126.0,
161,1988,"DUKAKIS, MICHAEL",147272.0,408968.0,"BUSH, GEORGE H.W.",253881.0,7815.0,Idaho,49470.0,2118.0,
162,1988,"DUKAKIS, MICHAEL",2215940.0,4559120.0,"BUSH, GEORGE H.W.",2310939.0,32241.0,Illinois,62283.0,1591.0,
163,1988,"DUKAKIS, MICHAEL",860643.0,2168621.0,"BUSH, GEORGE H.W.",1297763.0,10215.0,Indiana,55467.0,1964.0,
164,1988,"DUKAKIS, MICHAEL",670557.0,1225614.0,"BUSH, GEORGE H.W.",545355.0,9702.0,Iowa,51273.0,2274.0,
165,1988,"DUKAKIS, MICHAEL",422636.0,993044.0,"BUSH, GEORGE H.W.",554049.0,16359.0,Kansas,53933.0,2432.0,
166,1988,"DUKAKIS, MICHAEL",580368.0,1322517.0,"BUSH, GEORGE H.W.",734281.0,7868.0,Kentucky,41995.0,1690.0,
167,1988,"DUKAKIS, MICHAEL",717460.0,1628202.0,"BUSH, GEORGE H.W.",883702.0,27040.0,Louisiana,43240.0,3110.0,
168,1988,"DUKAKIS, MICHAEL",243569.0,555035.0,"BUSH, GEORGE H.W.",307131.0,4335.0,Maine,55697.0,1987.0,
169,1988,"DUKAKIS, MICHAEL",826304.0,1714358.0,"BUSH, GEORGE H.W.",876167.0,11887.0,Maryland,77109.0,2523.0,
170,1988,"DUKAKIS, MICHAEL",1401415.0,2632801.0,"BUSH, GEORGE H.W.",1194635.0,36751.0,Massachusetts,70065.0,1770.0,
171,1988,"DUKAKIS, MICHAEL",1675783.0,3669163.0,"BUSH, GEORGE H.W.",1965486.0,27894.0,Michigan,62173.0,1281.0,
172,1988,"DUKAKIS, MICHAEL",1109471.0,2096790.0,"BUSH, GEORGE H.W.",962337.0,24982.0,Minnesota,61361.0,2196.0,
173,1988,"DUKAKIS, MICHAEL",363921.0,931527.0,"BUSH, GEORGE H.W.",557890.0,9716.0,Mississippi,38323.0,1873.0,
174,1988,"DUKAKIS, MICHAEL",1001619.0,2093228.0,"BUSH, GEORGE H.W.",1084953.0,6656.0,Missouri,49455.0,2295.0,
